id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,prevalensi_balita_stunting,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,27.6,PERSEN,2023
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27.0,PERSEN,2023
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.4,PERSEN,2023
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29.2,PERSEN,2023
5,32,JAWA BARAT,3205,KABUPATEN GARUT,24.1,PERSEN,2023
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20.7,PERSEN,2023
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25.4,PERSEN,2023
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23.4,PERSEN,2023
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,22.9,PERSEN,2023
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24.1,PERSEN,2023
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14.4,PERSEN,2023
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18.4,PERSEN,2023
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,18.7,PERSEN,2023
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,24.0,PERSEN,2023
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,17.1,PERSEN,2023
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,23.2,PERSEN,2023
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25.1,PERSEN,2023
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,23.9,PERSEN,2023
19,32,JAWA BARAT,3271,KOTA BOGOR,18.2,PERSEN,2023
20,32,JAWA BARAT,3272,KOTA SUKABUMI,26.9,PERSEN,2023
21,32,JAWA BARAT,3273,KOTA BANDUNG,16.3,PERSEN,2023
22,32,JAWA BARAT,3274,KOTA CIREBON,19.9,PERSEN,2023
23,32,JAWA BARAT,3275,KOTA BEKASI,10.3,PERSEN,2023
24,32,JAWA BARAT,3276,KOTA DEPOK,14.3,PERSEN,2023
25,32,JAWA BARAT,3277,KOTA CIMAHI,24.5,PERSEN,2023
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27.1,PERSEN,2023
27,32,JAWA BARAT,3279,KOTA BANJAR,23.6,PERSEN,2023
